0, 0
1, 4
2, 9
3, 14
4, 18
5, 23
6, 28
7, 33
8, 37
9, 42
10, 47
11, 51
12, 56
13, 61
14, 66
15, 70
16, 75
17, 80
18, 85
19, 89
20, 94
21, 99
22, 103
23, 108
24, 113
25, 118
26, 122
27, 127
28, 132
29, 136
30, 141
31, 146
32, 151
33, 155
34, 160
35, 165
36, 170
37, 174
38, 179
39, 184
40, 188
41, 193
42, 198
43, 203
44, 207
45, 212
46, 217
47, 221
48, 226
49, 231
50, 236
51, 240
52, 245
53, 250
54, 255
55, 251
56, 246
57, 242
58, 237
59, 232
60, 228
61, 223
62, 218
63, 214
64, 209
65, 204
66, 200
67, 195
68, 191
69, 186
70, 181
71, 177
72, 172
73, 167
74, 163
75, 158
76, 153
77, 149
78, 144
79, 140
80, 135
81, 130
82, 126
83, 121
84, 116
85, 112
86, 107
87, 102
88, 98
89, 93
90, 89
91, 84
92, 79
93, 75
94, 70
95, 65
96, 61
97, 56
98, 51
99, 47
100, 42
101, 38
102, 33
103, 28
104, 24
105, 19
106, 14
107, 10
108, 5
109, 0
110, 4
111, 9
112, 14
113, 18
114, 23
115, 28
116, 33
117, 37
118, 42
119, 47
120, 51
121, 56
122, 61
123, 66
124, 70
125, 75
126, 80
127, 85
128, 89
129, 94
130, 99
131, 103
132, 108
133, 113
134, 118
135, 122
136, 127
137, 132
138, 136
139, 141
140, 146
141, 151
142, 155
143, 160
144, 165
145, 170
146, 174
147, 179
148, 184
149, 188
150, 193
151, 198
152, 203
153, 207
154, 212
155, 217
156, 221
157, 226
158, 231
159, 236
160, 240
161, 245
162, 250
163, 255
164, 251
165, 246
166, 242
167, 237
168, 232
169, 228
170, 223
171, 218
172, 214
173, 209
174, 204
175, 200
176, 195
177, 191
178, 186
179, 181
180, 177
181, 172
182, 167
183, 163
184, 158
185, 153
186, 149
187, 144
188, 140
189, 135
190, 130
191, 126
192, 121
193, 116
194, 112
195, 107
196, 102
197, 98
198, 93
199, 89
200, 84
201, 79
202, 75
203, 70
204, 65
205, 61
206, 56
207, 51
208, 47
209, 42
210, 38
211, 33
212, 28
213, 24
214, 19
215, 14
216, 10
217, 5
218, 0
219, 4
220, 9
221, 14
222, 18
223, 23
224, 28
225, 33
226, 37
227, 42
228, 47
229, 51
230, 56
231, 61
232, 66
233, 70
234, 75
235, 80
236, 85
237, 89
238, 94
239, 99
240, 103
241, 108
242, 113
243, 118
244, 122
245, 127
246, 132
247, 136
248, 141
249, 146
250, 151
251, 155
252, 160
253, 165
254, 170
255, 174
256, 179
257, 184
258, 188
259, 193
260, 198
261, 203
262, 207
263, 212
264, 217
265, 221
266, 226
267, 231
268, 236
269, 240
270, 245
271, 250
272, 255
273, 251
274, 246
275, 242
276, 237
277, 232
278, 228
279, 223
280, 218
281, 214
282, 209
283, 204
284, 200
285, 195
286, 191
287, 186
288, 181
289, 177
290, 172
291, 167
292, 163
293, 158
294, 153
295, 149
296, 144
297, 140
298, 135
299, 130
300, 126
301, 121
302, 116
303, 112
304, 107
305, 102
306, 98
307, 93
308, 89
309, 84
310, 79
311, 75
312, 70
313, 65
314, 61
315, 56
316, 51
317, 47
318, 42
319, 38
320, 33
321, 28
322, 24
323, 19
324, 14
325, 10
326, 5
327, 0
328, 4
329, 9
330, 14
331, 18
332, 23
333, 28
334, 33
335, 37
336, 42
337, 47
338, 51
339, 56
340, 61
341, 66
342, 70
343, 75
344, 80
345, 85
346, 89
347, 94
348, 99
349, 103
350, 108
351, 113
352, 118
353, 122
354, 127
355, 132
356, 136
357, 141
358, 146
359, 151
360, 155
361, 160
362, 165
363, 170
364, 174
365, 179
366, 184
367, 188
368, 193
369, 198
370, 203
371, 207
372, 212
373, 217
374, 221
375, 226
376, 231
377, 236
378, 240
379, 245
380, 250
381, 255
382, 251
383, 246
384, 242
385, 237
386, 232
387, 228
388, 223
389, 218
390, 214
391, 209
392, 204
393, 200
394, 195
395, 191
396, 186
397, 181
398, 177
399, 172
400, 167
401, 163
402, 158
403, 153
404, 149
405, 144
406, 140
407, 135
408, 130
409, 126
410, 121
411, 116
412, 112
413, 107
414, 102
415, 98
416, 93
417, 89
418, 84
419, 79
420, 75
421, 70
422, 65
423, 61
424, 56
425, 51
426, 47
427, 42
428, 38
429, 33
430, 28
431, 24
432, 19
433, 14
434, 10
435, 5
436, 0
437, 4
438, 9
439, 14
440, 18
441, 23
442, 28
443, 33
444, 37
445, 42
446, 47
447, 51
448, 56
449, 61
450, 66
451, 70
452, 75
453, 80
454, 85
455, 89
456, 94
457, 99
458, 103
459, 108
460, 113
461, 118
462, 122
463, 127
464, 132
465, 136
466, 141
467, 146
468, 151
469, 155
470, 160
471, 165
472, 170
473, 174
474, 179
475, 184
476, 188
477, 193
478, 198
479, 203
480, 207
481, 212
482, 217
483, 221
484, 226
485, 231
